course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
LING4203,Advanced Phonology ,001,98024,18,TR,1030,1145,SN3058,
LING4500,Introduction to Field Metho ,001,90574,19,TR,1400,1515,SN3060,
BIOC3105,Physical Biochemistry ,001,60136,5,MWF,1200,1250,ED3034A,
BIOC3105,Laboratory ,002,97998,0,W,1400,1600,ED3034A,
BIOC3108,Molecular Bioc of the Cell ,001,67713,6,MTR,1300,1350,A1046,
BIOC3203,Fundamentals Human Nutritio ,001,77156,5,MWF,1200,1250,C2004,
BIOC3402,Food Chemistry ,001,20423,0,M,1400,1630,LECIP,
BIOC3906,Nutr. Biochem. Metabolism L ,001,95972,17,TR,0900,1015,ED1014,
BIOC3906,Laboratory ,002,95973,63,W,1400,1650,CSF4203,
BIOC3906,Laboratory ,003,95974,64,R,1400,1650,CSF4203,
BIOC3906,Laboratory ,004,97543,65,F,1400,1650,CSF4203,
BIOC4102,Current Topics in Biochemis ,001,61246,20,TR,1530,1645,C3053,
BIOC4105,Immunology ,001,79114,2,MWF,0900,0950,ED1020,
BIOC4200,Bioenerg/Blgcl Oxd ,001,99773,19,TR,1400,1515,C4011,
BIOC4230,Lipid & Lipoprotein Metabol ,001,99774,18,TR,1030,1145,A2065,
BIOC4300,Advanced Nutrition ,001,95977,20,TR,1530,1645,SN3058,
HIST1005,CRW Indigenous Studies ,001,89262,4,MWF,1100,1150,A2071,
HIST1010,CRW: The Americas ,001,99718,3,MWF,1000,1050,A1049,
HIST1011,CRW: Modern Europe ,001,99720,2,MWF,0900,0950,A3020,
HIST1013,CRW: Canada ,001,98198,3,MWF,1000,1050,A2065,
HIST2130,Seafarng Place&Seafarng Peo ,001,99726,5,MWF,1200,1250,SN2036,
HIST2210,Canadian History since 1867,001,96582,7,MWF,1400,1450,SN3042,
HIST2330,Med Eur Since Eleventh Cent ,001,99736,4,MWF,1100,1150,SN3042,
HIST2600,History of the USA to 1865,001,99724,6,MTR,1300,1350,A2071,
HIST2800,Indigenous Peoples/Colonial ,001,96584,7,MWF,1400,1450,SN3058,
HIST3120,Modern Nfld Since 1815,001,99738,3,MWF,1000,1050,SN2067,
HIST3270,Christianity & Roman Empire ,001,99838,18,TR,1030,1145,A1046,
HIST3525,Indigenous History from 176,001,90343,14,MW,1530,1645,A1049,
HIST3780,Women/Medieval Europe 500-1 ,001,99740,8,MWF,1500,1550,C4002,
HIST3790,US History Films 1895-1945 ,001,99742,20,TR,1530,1645,A1045,
HIST4212,The North American Frontier ,001,94263,13,MW,1400,1515,A4004,
HIST4216,Tpcs in US Cultural History ,001,99745,11,MW,1030,1145,A4004,
HIST4231,Topics Nfld&Lab Hist II ,001,99749,18,TR,1030,1145,A4004,
HIST4568,Holocaust in Hist Perspecti ,001,99747,11,MW,1030,1145,EN1003,
ECON1010,Intro to Microeconomics ,001,88339,13,MW,1400,1515,ED2018B,
ECON1010,Intro to Microeconomics ,002,88341,10,MW,0900,1015,SN2109,
ECON1010,Intro to Microeconomics ,003,96646,18,TR,1030,1145,ED3034B,
ECON1020,Intro to Macroeconomics ,001,88348,3,MWF,1000,1050,ED3034B,
ECON1020,Intro to Macroeconomics ,002,88350,7,MWF,1400,1450,ED3034B,
ECON1020,Intro to Macroeconomics ,003,20494,19,TR,1400,1515,ED2018B,
ECON2550,Economic Stat & Data Analys ,001,99873,23,TR,1230,1345,SN3058,
ECON3001,Intermed Micro Theory II ,001,87304,13,MW,1400,1515,EN1051,
ECON3011,Intermed Macro Theory II ,001,78518,10,MW,0900,1015,ED1005,
ECON3030,International Economics ,001,20496,19,TR,1400,1515,SN3058,
ECON3140,Economic Analysis Health Ca ,001,99875,17,TR,0900,1015,A2065,
ECON3150,Money / Banking ,001,99876,12,MW,1230,1345,ED1005,
ECON3551,Mathematical Economics II ,001,99874,18,TR,1030,1145,SN4073,
ECON4025,Public Expenditure ,001,20498,11,MW,1030,1145,ED3048,
ECON4085,Advanced Environmental Econ ,001,20500,23,TR,1230,1345,A1045,
ECON4120,App Welfare Econ/Cost Be ,001,95987,19,TR,1400,1515,ED4034,
ANTH1031,Introduction to Anthropolog ,001,81797,20,TR,1530,1645,C3033,
ANTH1031,Introduction to Anthropolog ,002,99707,18,TR,1030,1145,A1043,
ANTH2413,Culture Soc & Globalizatio ,001,92013,19,TR,1400,1515,C2033,
ANTH2414,Indigenous Peoples North Am ,001,20127,10,MW,0900,1015,QC4028,
ANTH2415,Anthropology of Food ,001,99710,11,MW,1030,1145,QC4028,
ANTH3061,Cult & Social Inequality ,001,98184,63,W,1400,1650,QC4001,
ANTH3404,Visual Anthropology ,002,99167,71,M,1500,1750,QC4028,
ANTH4073,Studies in Underclass Life ,001,98186,51,M,1200,1450,QC4001,
ANTH4412,Contemp Theory in Anthropol ,002,98868,72,T,1500,1750,QC4028,
ANTH6089,Anth of Underclass Life ,002,99704,64,R,1400,1650,QC4001,
COMP1001,Intro to Programming ,001,87522,20,TR,1530,1645,IIC2001,
COMP1001,Laboratory ,002,98518,65,F,1400,1650,CS1009,
COMP1001,Laboratory ,003,98299,42,T,0900,1150,CS1009,
COMP1001,Laboratory ,056,98300,0,W,1900,2200,CS1009,
COMP1002,Intro to Logic for Comp Sci ,001,86879,16,TR,1200,1250,ED1020,
COMP1002,Laboratory ,002,98303,43,W,0900,1150,CS1009,
COMP1002,Laboratory ,003,98304,44,R,0900,1150,CS1009,
